Month,FullTime,PartTime,Intern,Contract,Terminate,Operational Cost,Headcount,FullTime_Prop,PartTime_Prop,Intern_Prop,Contract_Prop,Turnover_Rate,Pandemic_Period_0,Pandemic_Period_1,Pandemic_Period_2
201901,240422,16413,835,38813,2360,5367754214,296483,0.810913273,0.055358992,0.00281635,0.130911384,0.007959984,1,0,0
201902,239957,16601,947.5,39278,2263,5453119476,296783.5,0.808525407,0.055936398,0.003192563,0.132345632,0.007625087,1,0,0
201903,239491,16789,1060,39743,3966,5527625882,297083,0.806141718,0.056512826,0.003568026,0.133777429,0.013349805,1,0,0
201904,240027,16749,1717,40032,3873,5367286525,298525,0.804043212,0.056105854,0.005751612,0.134099322,0.012973788,1,0,0
201905,240027,16749,1717,40032,4029,5427404580,298525,0.804043212,0.056105854,0.005751612,0.134099322,0.013496357,1,0,0
201906,240745,16781,3970,40269,3778,5460975560,301765,0.797789671,0.055609497,0.013155933,0.133444899,0.012519676,1,0,0
201907,239914,16823,892,40836,3526,5514152280,298465,0.803826244,0.056365068,0.002988625,0.136820063,0.011813781,1,0,0
201908,240540,17140,864,40941,4463,5294418929,299485,0.80317879,0.057231581,0.002884953,0.136704676,0.014902249,1,0,0
201909,240099,17209,828,40860,3307,5562963592,298996,0.803017432,0.057555954,0.002769268,0.136657347,0.011060349,1,0,0
201910,239750,17336,835,40495,3499,5431569466,298416,0.803408664,0.0580934,0.002798107,0.135699828,0.011725243,1,0,0
201911,239787,17437,691,39452,3121,5372738622,297367,0.806367216,0.058637979,0.002323728,0.132671076,0.010495448,1,0,0
201912,240072,17415,921,39025,2536,5488578409,297433,0.807146483,0.058551001,0.003096496,0.13120602,0.00852629,1,0,0
202001,240129,17295,871,39072,2322,5548936902,297367,0.80751731,0.058160455,0.002929041,0.131393194,0.007808533,0,1,0
202002,239623,17341,964,39071,2477,5586125910,296999,0.806814164,0.058387402,0.003245802,0.131552631,0.008340095,0,1,0
202003,239851,17149,1087,39440,3460,5655456001,297527,0.806148686,0.057638466,0.00365345,0.132559398,0.011629197,0,1,0
202004,239471,17188,1036,39764,1723,5479073630,297459,0.805055487,0.057782753,0.003482833,0.133678927,0.005792395,0,1,0
202005,240204,16748,3792,39641,1450,5365968365,300385,0.799653778,0.055755114,0.012623799,0.131967309,0.004827139,0,1,0
202006,240562,16367,3751,39620,1907,6097433115,300300,0.801072261,0.054502165,0.012490842,0.131934732,0.006350316,0,1,0
202007,241122,15720,751,39693,2347,5226515019,297286,0.811077548,0.052878373,0.002526187,0.133517892,0.007894755,0,1,0
202008,241143,15479,798,39348,3072,5328335989,296768,0.812564023,0.052158589,0.002688969,0.132588419,0.01035152,0,1,0
202009,240465,15337,776,39129,2658,6320188957,295707,0.813186702,0.051865529,0.002624219,0.13232355,0.008988627,0,1,0
202010,239938,15628,786,39639,3012,5195992908,295991,0.810625999,0.052798903,0.002655486,0.133919612,0.010175985,0,1,0
202011,239934,15684,761,38993,2978,5383124131,295372,0.812311255,0.053099143,0.002576412,0.13201319,0.010082201,0,1,0
202012,240450,15541,927,39347,2366,5469184359,296265,0.811604476,0.052456416,0.003128955,0.132810153,0.007986094,0,1,0
202101,242522,15872,985,40016,2322,5781318298,299395,0.810040248,0.053013577,0.003289968,0.133656207,0.007755641,0,1,0
202102,243078,16454,1174,40793,2340,6485118656,301499,0.80623153,0.054573979,0.003893877,0.135300615,0.00776122,0,1,0
202103,242820,16653,1327,41323,3380,6458215154,302123,0.803712395,0.055119935,0.004392251,0.136775419,0.011187496,0,1,0
202104,242809,16685,1595,42379,4332,5771060621,303468,0.800114015,0.054981085,0.005255908,0.139648991,0.014274981,0,1,0
202105,243622,16735,4334,42650,4374,5761497750,307341,0.792676538,0.054450919,0.014101601,0.138770942,0.014231749,0,1,0
202106,245044,16390,3823,43273,4209,6134629683,308530,0.794230707,0.053122873,0.012391015,0.140255405,0.013642109,0,1,0
202107,247204,16539,991,44111,4904,5635403313,308845,0.800414447,0.053551134,0.003208729,0.142825689,0.015878515,0,1,0
202108,248829,16888,1041,45094,4047,5815147585,311852,0.797907341,0.054153894,0.003338122,0.144600644,0.01297731,0,1,0
202109,250814,17402,1068,45631,4119,5613198593,314915,0.796449836,0.055259356,0.003391391,0.144899417,0.01307972,0,1,0
202110,253539,17466,982,46805,3947,5804690570,318792,0.795311677,0.054788075,0.003080378,0.14681987,0.012381114,0,1,0
202111,254248,17044,889,46501,3746,5838129642,318682,0.797810984,0.053482782,0.002789615,0.145916619,0.011754665,0,1,0
202112,256753,16645,1354,46761,3432,6244827046,321513,0.798577351,0.051770846,0.004211338,0.145440464,0.010674529,0,1,0
202201,257855,16413,1407,47758,3353,6267200553,323433,0.797243942,0.050746213,0.004350205,0.147659639,0.010366908,0,0,1
202202,257981,16253,1539,48734,3347,6316088568,324507,0.794993637,0.050085206,0.004742579,0.150178579,0.010314107,0,0,1
202203,257709,16192,1803,49747,5005,6607571114,325451,0.791851922,0.049752497,0.005540004,0.152855576,0.015378659,0,0,1
202204,259352,16064,2023,51296,5655,6196653847,328735,0.788939419,0.048866108,0.006153893,0.15604058,0.017202306,0,0,1
202205,261406,15986,5786,50544,4610,6304692190,333722,0.783304667,0.047902146,0.017337784,0.151455403,0.013813893,0,0,1
202206,264594,16245,4770,51694,4569,6248401310,337303,0.784440103,0.048161445,0.014141588,0.153256864,0.013545684,0,0,1
202207,267528,17146,1166,52603,4641,6328446494,338443,0.790466932,0.050661411,0.003445189,0.155426468,0.013712797,0,0,1
202208,270541,17346,1198,53226,4693,6409917956,342311,0.790336857,0.050673218,0.003499741,0.155490183,0.013709755,0,0,1
202209,273473,17311,1096,52928,3788,6439338266,344808,0.793116749,0.050204752,0.003178581,0.153499919,0.010985824,0,0,1
202210,275127,17353,1074,50560,3362,6311456310,344114,0.799522833,0.050428056,0.003121059,0.146928053,0.009770018,0,0,1
202211,276036,17068,1007,50037,3308,6417671530,344148,0.802085149,0.049594942,0.002926067,0.145393842,0.009612144,0,0,1
202212,277913,16754,1308,49329,2678,6293637497,345304,0.804835739,0.048519565,0.003787967,0.142856729,0.007755485,0,0,1
202301,279409,16684,1851,49488,2447,6597455281,347432,0.804212047,0.048020908,0.005327661,0.142439384,0.007043105,0,0,1
202302,279829,16579,1918,49806,2245,6748217560,348132,0.803801432,0.047622741,0.005509404,0.143066423,0.006448703,0,0,1
202303,280792,16357,2265,49491,4027,6761776468,348905,0.804780671,0.046880956,0.006491738,0.141846634,0.011541824,0,0,1
202304,281661,16433,2329,49499,3345,6515768436,349922,0.804925098,0.046961894,0.006655769,0.141457239,0.009559273,0,0,1
202305,283386,16381,6006,49814,3322,7013364432,355587,0.796952645,0.046067488,0.016890381,0.140089486,0.009342299,0,0,1
202306,290142,16580,5624,51298,3013,7292365709,363644,0.797873745,0.045594043,0.015465675,0.141066538,0.008285576,0,0,1
202307,291268,16588,1117,52301,3528,6943961563,361274,0.806224638,0.045915289,0.003091836,0.144768237,0.009765441,0,0,1
202308,291958,16604,1125,53114,3443,7125336887,362801,0.804733173,0.045766136,0.003100873,0.146399817,0.009490051,0,0,1
202309,293247,16655,1068,53343,3236,7688131046,364313,0.804931474,0.045716184,0.002931545,0.146420798,0.008882472,0,0,1
202310,293722,16676,1087,53685,2681,6993508343,365170,0.804343183,0.045666402,0.002976696,0.14701372,0.007341786,0,0,1
202311,293612,16484,937,53934,2562,9804054358,364967,0.804489173,0.045165727,0.002567355,0.147777744,0.007019813,0,0,1
202312,294960,16492,1492,53854,2460,7688805202,366798,0.804148332,0.044962077,0.004067634,0.146821956,0.006706689,0,0,1
